iter	Passed	Remaining
400	35258	52667
401	35396	52654
402	35548	52661
403	35663	52612
404	35787	52577
405	35978	52639
406	36157	52681
407	36283	52646
408	36401	52600
409	36510	52539
410	36605	52458
411	36695	52371
412	36785	52283
413	36894	52222
414	37019	52184
415	37145	52146
416	37313	52167
417	37507	52223
418	37652	52210
419	37794	52192
420	37949	52191
421	38100	52184
422	38258	52187
423	38453	52238
424	38603	52228
425	38768	52237
426	38939	52253
427	39090	52243
428	39249	52241
429	39402	52231
430	39574	52245
431	39700	52198
432	39826	52152
433	39938	52086
434	40039	52005
435	40156	51945
436	40282	51897
437	40426	51872
438	40598	51881
439	40714	51818
440	40807	51726
441	40907	51643
442	40999	51550
443	41088	51452
444	41179	51358
445	41272	51267
446	41376	51188
447	41523	51162
448	41624	51080
449	41757	51036
450	41844	50936
451	41938	50845
452	42029	50750
453	42115	50649
454	42204	50553
455	42299	50463
456	42394	50373
457	42485	50277
458	42578	50185
459	42678	50101
460	42795	50036
461	42920	49980
462	43018	49893
463	43110	49800
464	43205	49709
465	43293	49610
466	43397	49531
467	43492	49439
468	43593	49356
469	43696	49274
470	43841	49239
471	44041	49267
472	44145	49184
473	44259	49114
474	44363	49033
475	44466	48950
476	44566	48864
477	44665	48777
478	44749	48673
479	44847	48584
480	44941	48492
481	45049	48414
482	45158	48337
483	45240	48231
484	45337	48142
485	45439	48057
486	45533	47964
487	45635	47879
488	45728	47786
489	45820	47691
490	45908	47591
491	46017	47514
492	46124	47434
493	46255	47378
494	46361	47297
495	46451	47200
496	46548	47110
497	46645	47020
498	46750	46938
499	46842	46842
500	46945	46758
501	47031	46657
502	47130	46568
503	47244	46494
504	47380	46442
505	47474	46348
506	47580	46267
507	47696	46193
508	47793	46103
509	47891	46013
510	47997	45931
511	48098	45844
512	48206	45763
513	48310	45679
514	48438	45617
515	48556	45545
516	48660	45460
517	48756	45367
518	48854	45277
519	48955	45189
520	49053	45098
521	49150	45007
522	49251	44919
523	49342	44822
524	49437	44729
525	49551	44653
526	49657	44569
527	49751	44474
528	49843	44378
529	49933	44280
530	50031	44189
531	50132	44101
532	50230	44010
533	50327	43918
534	50427	43829
535	50535	43747
536	50649	43670
537	50759	43589
538	50854	43495
539	50957	43408
540	51048	43310
541	51142	43216
542	51241	43126
543	51340	43035
544	51438	42944
545	51545	42860
546	51656	42779
547	51782	42710
548	51888	42625
549	51989	42536
550	52085	42443
551	52180	42349
552	52281	42260
553	52379	42168
554	52476	42075
555	52585	41992
556	52724	41933
557	52944	41938
558	53112	41900
559	53273	41857
560	53414	41798
561	53521	41712
562	53636	41632
563	53780	41574
564	53932	41523
565	54119	41498
566	54267	41442
567	54406	41379
568	54503	41284
569	54630	41212
570	54734	41123
571	54846	41039
572	54939	40940
573	55053	40858
574	55268	40850
575	55458	40823
576	55608	40766
577	55909	40819
578	56044	40750
579	56172	40676
580	56266	40578
581	56419	40521
582	56561	40456
583	56685	40378
584	56794	40289
585	56911	40207
586	57039	40131
587	57161	40052
588	57294	39979
589	57503	39960
590	57716	39942
591	57889	39896
592	58067	39854
593	58251	39815
594	58439	39777
595	58664	39766
596	58845	39723
597	59012	39670
598	59187	39623
599	59329	39552
600	59471	39482
601	59591	39397
602	59717	39316
603	59902	39273
604	60045	39203
605	60185	39130
606	60308	39046
607	60437	38966
608	60561	38882
609	60685	38798
610	60787	38701
611	60913	38618
612	61026	38527
613	61132	38431
614	61224	38327
615	61333	38233
616	61457	38149
617	61561	38052
618	61657	37950
619	61780	37865
620	61902	37779
621	62051	37709
622	62171	37622
623	62274	37524
624	62373	37423
625	62462	37318
626	62557	37215
627	62659	37116
628	62760	37017
629	62861	36918
630	62959	36818
631	63050	36713
632	63162	36620
633	63277	36529
634	63367	36423
635	63475	36328
636	63638	36265
637	63789	36194
638	63928	36116
639	64080	36045
640	64195	35953
641	64334	35874
642	64486	35803
643	64641	35733
644	64784	35656
645	64931	35581
646	65042	35486
647	65150	35390
648	65295	35314
649	65465	35250
650	65614	35175
651	65743	35090
652	65852	34993
653	65988	34911
654	66123	34828
655	66267	34750
656	66407	34669
657	66529	34579
658	66638	34481
659	66733	34377
660	66825	34271
661	66925	34170
662	67017	34064
663	67096	33952
664	67194	33849
665	67290	33746
666	67376	33637
667	67477	33536
668	67573	33433
669	67698	33344
670	67799	33242
671	67895	33139
672	68019	33049
673	68148	32962
674	68269	32870
675	68380	32773
676	68497	32680
677	68613	32586
678	68728	32491
679	68876	32412
680	69119	32377
681	69273	32300
682	69386	32204
683	69505	32110
684	69612	32011
685	69718	31912
686	69840	31819
687	69987	31738
688	70145	31662
689	70291	31580
690	70389	31476
691	70493	31375
692	70591	31272
693	70684	31166
694	70782	31062
695	70876	30957
696	70968	30851
697	71082	30755
698	71174	30648
699	71261	30540
700	71354	30434
701	71455	30333
702	71555	30230
703	71645	30123
704	71737	30017
705	71818	29907
706	71914	29803
707	71999	29694
708	72113	29598
709	72219	29498
710	72314	29393
711	72403	29286
712	72509	29186
713	72600	29080
714	72701	28979
715	72798	28875
716	72895	28771
717	72987	28666
718	73073	28558
719	73157	28450
720	73287	28359
721	73381	28254
722	73484	28153
723	73590	28053
724	73685	27949
725	73784	27846
726	73880	27743
727	73981	27641
728	74072	27535
729	74168	27432
730	74262	27327
731	74389	27235
732	74511	27141
733	74608	27037
734	74688	26928
735	74779	26822
736	74879	26720
737	74971	26615
738	75053	26507
739	75141	26401
740	75237	26297
741	75328	26192
742	75441	26094
743	75567	26001
744	75660	25897
745	75762	25795
746	75859	25692
747	75954	25589
748	76053	25486
749	76158	25386
750	76256	25283
751	76351	25179
752	76486	25089
753	76685	25019
754	76835	24933
755	76953	24836
756	77056	24735
757	77151	24631
758	77247	24527
759	77342	24423
760	77440	24320
761	77527	24214
762	77643	24117
763	77807	24034
764	77925	23938
765	78025	23835
766	78124	23732
767	78215	23627
768	78306	23522
769	78391	23415
770	78474	23308
771	78567	23203
772	78690	23108
773	78782	23003
774	78910	22909
775	79019	22809
776	79114	22705
777	79212	22603
778	79304	22498
779	79404	22396
780	79500	22292
781	79598	22189
782	79688	22084
783	79776	21979
784	79870	21875
785	79985	21777
786	80092	21676
787	80178	21570
788	80272	21466
789	80370	21364
790	80471	21262
791	80579	21162
792	80674	21058
793	80761	20953
794	80859	20850
795	80947	20745
796	81044	20642
797	81171	20547
798	81261	20442
799	81356	20339
800	81455	20236
801	81554	20134
802	81653	20032
803	81753	19930
804	81854	19828
805	81950	19725
806	82053	19623
807	82183	19528
808	82289	19427
809	82382	19324
810	82472	19219
811	82555	19113
812	82645	19009
813	82748	18908
814	82839	18804
815	82929	18699
816	83020	18595
817	83106	18490
818	83200	18387
819	83307	18286
820	83424	18188
821	83518	18085
822	83615	17982
823	83711	17880
824	83798	17775
825	83891	17672
826	83979	17567
827	84075	17464
828	84167	17361
829	84266	17259
830	84367	17157
831	84500	17062
832	84601	16960
833	84722	16863
834	84827	16762
835	84929	16660
836	85016	16556
837	85105	16452
838	85202	16349
839	85302	16248
840	85409	16147
841	85523	16048
842	85631	15948
843	85736	15847
844	85822	15742
845	85921	15640
846	86010	15536
847	86114	15435
848	86203	15331
849	86296	15228
850	86379	15124
851	86481	15022
852	86579	14920
853	86699	14822
854	86787	14718
855	86877	14614
856	86974	14512
857	87115	14417
858	87269	14324
859	87410	14229
860	87555	14134
861	87710	14041
862	87922	13957
863	88058	13860
864	88164	13759
865	88270	13658
866	88371	13556
867	88471	13454
868	88567	13351
869	88658	13247
870	88759	13145
871	88860	13043
872	88995	12946
873	89137	12850
874	89297	12756
875	89451	12662
876	89577	12563
877	89687	12462
878	89791	12360
879	89899	12259
880	90027	12160
881	90156	12061
882	90271	11961
883	90364	11857
884	90465	11755
885	90565	11652
886	90661	11549
887	90767	11448
888	90859	11344
889	90953	11241
890	91043	11137
891	91179	11039
892	91352	10945
893	91519	10851
894	91679	10755
895	91971	10675
896	92120	10577
897	92262	10479
898	92422	10383
899	92545	10282
900	92671	10182
901	92778	10080
902	92880	9977
903	92982	9874
904	93082	9771
905	93205	9670
906	93335	9570
907	93482	9471
908	93633	9373
909	93797	9276
910	93941	9177
911	94076	9077
912	94203	8976
913	94315	8874
914	94423	8771
915	94551	8670
916	94680	8569
917	94791	8467
918	94913	8365
919	95033	8263
920	95139	8160
921	95253	8058
922	95353	7954
923	95471	7852
924	95564	7748
925	95690	7646
926	95802	7544
927	95905	7440
928	96019	7338
929	96158	7237
930	96273	7135
931	96403	7033
932	96523	6931
933	96641	6829
934	96753	6726
935	96895	6625
936	97009	6522
937	97119	6419
938	97232	6316
939	97342	6213
940	97457	6110
941	97571	6007
942	97670	5903
943	97763	5799
944	97896	5697
945	98028	5595
946	98124	5491
947	98228	5388
948	98328	5284
949	98430	5180
950	98534	5076
951	98653	4974
952	98761	4870
953	98871	4767
954	98980	4663
955	99097	4560
956	99194	4457
957	99289	4353
958	99384	4248
959	99569	4148
960	99752	4048
961	99989	3949
962	100102	3846
963	100255	3743
964	100417	3642
965	100587	3540
966	100761	3438
967	100922	3336
968	101038	3232
969	101142	3128
970	101266	3024
971	101370	2920
972	101459	2815
973	101558	2711
974	101649	2606
975	101739	2501
976	101827	2397
977	101953	2293
978	102058	2189
979	102156	2084
980	102247	1980
981	102348	1876
982	102469	1772
983	102563	1667
984	102707	1564
985	102863	1460
986	103000	1356
987	103161	1252
988	103303	1148
989	103474	1045
990	103636	941
991	103751	836
992	103905	732
993	104077	628
994	104256	523
995	104409	419
996	104533	314
997	104693	209
998	104810	104
999	104925	0
