iter	Logloss
0	0.6620470182
1	0.6331485937
2	0.6084736458
3	0.585084388
4	0.5627159701
5	0.5445391602
6	0.5268233984
7	0.509435612
8	0.4953941992
9	0.479912806
10	0.4676551823
11	0.4566357812
12	0.4448738802
13	0.4349676628
14	0.4259879427
15	0.4171767969
16	0.4097139518
17	0.402137347
18	0.3955388086
19	0.3881076497
20	0.3815444173
21	0.3759453776
22	0.3708450195
23	0.3661196419
24	0.361831377
25	0.3567950391
26	0.3529336816
27	0.3496356315
28	0.346346748
29	0.3429368327
30	0.3396616406
31	0.3363588737
32	0.3338181673
33	0.3306718424
34	0.3286255176
35	0.3266810645
36	0.3246103776
37	0.3227416862
38	0.3210277214
39	0.3192191536
40	0.3171329655
41	0.3156541439
42	0.3140466016
43	0.3126991309
44	0.3114126367
45	0.3097579557
46	0.3087712956
47	0.3074343392
48	0.306411849
49	0.3051937305
50	0.3039024414
51	0.3027838639
52	0.3020453353
53	0.3011774544
54	0.3004859635
55	0.2998816406
56	0.2988662077
57	0.2982423372
58	0.2973840397
59	0.2969294043
60	0.2961836003
61	0.2957539128
62	0.2952889193
63	0.2948133333
64	0.2940973307
65	0.2935206803
66	0.2930902214
67	0.2925764258
68	0.2921894824
69	0.2918225684
70	0.2913315495
71	0.2907753613
72	0.2903555729
73	0.2900486426
74	0.2897685026
75	0.2894913542
76	0.2891871191
77	0.2889198665
78	0.288720599
79	0.2883649967
80	0.288147679
81	0.2878440234
82	0.2874941732
83	0.2872419889
84	0.2870331999
85	0.2867768848
86	0.2865344173
87	0.2863933919
88	0.2861348307
89	0.2859249642
90	0.2856826042
91	0.2855028158
92	0.2853302962
93	0.2851620801
94	0.2849365658
95	0.2846987435
96	0.2845565495
97	0.2843738672
98	0.2841323307
99	0.2839324544
100	0.2838051693
101	0.2836337891
102	0.2835030697
103	0.2833439974
104	0.2831730729
105	0.2830188965
106	0.2828598405
107	0.2826870182
108	0.2825827441
109	0.2824030143
110	0.2822922591
111	0.2822030762
112	0.2820845833
113	0.2819417383
114	0.2818137728
115	0.2816642708
116	0.2815371484
117	0.2813955762
118	0.2812655013
119	0.2811420638
120	0.2810541243
121	0.2809910091
122	0.280869847
123	0.2807846257
124	0.2806627767
125	0.2805710872
126	0.2804209212
127	0.2803410221
128	0.2802199219
129	0.2801391146
130	0.2800435091
131	0.2799621517
132	0.2798593392
133	0.2797328581
134	0.2796271061
135	0.2795494531
136	0.2794336621
137	0.2793766048
138	0.2792995703
139	0.2791866992
140	0.2790847656
141	0.278975459
142	0.2788693587
143	0.2787821973
144	0.2787385872
145	0.2786271354
146	0.278581123
147	0.2784966016
148	0.2784463379
149	0.2783674251
150	0.2783204948
151	0.2782422949
152	0.2781588281
153	0.2780757227
154	0.2779981901
155	0.2779295345
156	0.2778447721
157	0.2777855957
158	0.2777143815
159	0.2776557031
160	0.2775961035
161	0.2775117773
162	0.2774191992
163	0.277384388
164	0.2773268132
165	0.277283444
166	0.2772172819
167	0.2771740951
168	0.2771210742
169	0.2770855859
170	0.2770314714
171	0.2769879557
172	0.2769104525
173	0.2768486068
174	0.2767897005
175	0.2767374284
176	0.2766696842
177	0.2766217318
178	0.276543724
179	0.2764791341
180	0.2764380534
181	0.2763999772
182	0.2763385579
183	0.2762761719
184	0.2761987012
185	0.276147002
186	0.2760959115
187	0.2760520768
188	0.2760064388
189	0.2759462923
190	0.2758945247
191	0.2758420605
192	0.2757667285
193	0.2757088932
194	0.2756691536
195	0.2756036523
196	0.2755657943
197	0.2754960579
198	0.2754375293
199	0.2753877376
200	0.2753378809
201	0.2752911751
202	0.2752515495
203	0.2751937858
204	0.2751427702
205	0.2750814583
206	0.2750275814
207	0.2749808659
208	0.2749221126
209	0.2748930729
210	0.2748528548
211	0.2748004622
212	0.2747450651
213	0.2746993555
214	0.2746771875
215	0.2746350423
216	0.2746017122
217	0.2745776335
218	0.2745502083
219	0.2744978125
220	0.2744641276
221	0.2744150749
222	0.2743732747
223	0.2743199154
224	0.2742656413
225	0.2742386068
226	0.2742014355
227	0.2741607585
228	0.2741146647
229	0.2740765755
230	0.2740231348
231	0.2739821582
232	0.2739456445
233	0.2739066406
234	0.2738594889
235	0.2738393978
236	0.2738026497
